0.785 , 11.0047 , 14.5462
0.79 , 10.9917 , 14.5558
0.795 , 10.9785 , 14.5652
0.8 , 10.965 , 14.5743
0.805 , 10.9513 , 14.5831
0.81 , 10.9374 , 14.5917
0.815 , 10.9232 , 14.6001
0.82 , 10.9087 , 14.6082
0.825 , 10.894 , 14.616
0.83 , 10.8791 , 14.6237
0.835 , 10.8639 , 14.631
0.84 , 10.8485 , 14.6382
0.845 , 10.8328 , 14.645
0.85 , 10.8169 , 14.6517
0.855 , 10.8007 , 14.6581
0.86 , 10.7843 , 14.6642
0.865 , 10.7677 , 14.6701
0.87 , 10.7508 , 14.6758
0.875 , 10.7336 , 14.6812
0.88 , 10.7162 , 14.6864
0.885 , 10.6986 , 14.6913
0.89 , 10.6807 , 14.696
0.895 , 10.6626 , 14.7004
0.9 , 10.6442 , 14.7046
0.905 , 10.6256 , 14.7085
0.91 , 10.6067 , 14.7122
0.915 , 10.5876 , 14.7157
0.92 , 10.5683 , 14.7189
0.925 , 10.5487 , 14.7218
0.93 , 10.5288 , 14.7246
0.935 , 10.5088 , 14.727
0.94 , 10.4884 , 14.7292
0.945 , 10.4678 , 14.7312
0.95 , 10.447 , 14.733
0.955 , 10.426 , 14.7344
0.96 , 10.4046 , 14.7357
0.965 , 10.3831 , 14.7367
0.97 , 10.3613 , 14.7374
0.975 , 10.3392 , 14.738
0.98 , 10.3169 , 14.7382
0.985 , 10.2944 , 14.7382
0.99 , 10.2716 , 14.738
0.995 , 10.2486 , 14.7375
1 , 10.2253 , 14.7368
1.005 , 10.2018 , 14.7359
1.01 , 10.178 , 14.7346
1.015 , 10.154 , 14.7332
1.02 , 10.1297 , 14.7315
1.025 , 10.1052 , 14.7295
1.03 , 10.0805 , 14.7274
1.035 , 10.0555 , 14.7249
1.04 , 10.0303 , 14.7222
1.045 , 10.0048 , 14.7193
1.05 , 9.97905 , 14.7161
1.055 , 9.95308 , 14.7127
1.06 , 9.92686 , 14.7091
1.065 , 9.9004 , 14.7052
1.07 , 9.87369 , 14.701
1.075 , 9.84673 , 14.6966
1.08 , 9.81953 , 14.692
1.085 , 9.79209 , 14.6871
1.09 , 9.7644 , 14.6819
1.095 , 9.73646 , 14.6766
1.1 , 9.70828 , 14.6709
1.105 , 9.67986 , 14.6651
1.11 , 9.65118 , 14.659
1.115 , 9.62227 , 14.6526
1.12 , 9.59311 , 14.646
1.125 , 9.5637 , 14.6392
1.13 , 9.53405 , 14.6321
1.135 , 9.50415 , 14.6247
1.14 , 9.47401 , 14.6171
1.145 , 9.44362 , 14.6093
1.15 , 9.41298 , 14.6012
1.155 , 9.38211 , 14.5929
1.16 , 9.35098 , 14.5843
1.165 , 9.31961 , 14.5755
1.17 , 9.288 , 14.5665
1.175 , 9.25614 , 14.5572
1.18 , 9.22403 , 14.5476
1.185 , 9.19168 , 14.5378
1.19 , 9.15909 , 14.5278
1.195 , 9.12625 , 14.5175
1.2 , 9.09316 , 14.507
1.205 , 9.05983 , 14.4962
1.21 , 9.02626 , 14.4852
1.215 , 8.99243 , 14.4739
1.22 , 8.95837 , 14.4624
1.225 , 8.92405 , 14.4507
1.23 , 8.8895 , 14.4387
1.235 , 8.85469 , 14.4264
1.24 , 8.81965 , 14.4139
1.245 , 8.78435 , 14.4012
1.25 , 8.74882 , 14.3882
1.255 , 8.71303 , 14.375
1.26 , 8.677 , 14.3615
1.265 , 8.64073 , 14.3478
1.27 , 8.60421 , 14.3338
1.275 , 8.56744 , 14.3196
1.28 , 8.53043 , 14.3052
1.285 , 8.49318 , 14.2905
1.29 , 8.45568 , 14.2755
1.295 , 8.41793 , 14.2603
1.3 , 8.37994 , 14.2449
1.305 , 8.34171 , 14.2292
1.31 , 8.30323 , 14.2133
1.315 , 8.2645 , 14.1971
1.32 , 8.22553 , 14.1807
1.325 , 8.18631 , 14.1641
1.33 , 8.14685 , 14.1472
1.335 , 8.10714 , 14.13
1.34 , 8.06719 , 14.1126
1.345 , 8.02699 , 14.095
1.35 , 7.98655 , 14.0771
1.355 , 7.94586 , 14.059
1.36 , 7.90492 , 14.0406
1.365 , 7.86374 , 14.022
1.37 , 7.82232 , 14.0031
1.375 , 7.78065 , 13.984
1.38 , 7.73873 , 13.9646
1.385 , 7.69657 , 13.945
1.39 , 7.65417 , 13.9252
1.395 , 7.61152 , 13.9051
1.4 , 7.56862 , 13.8847
1.405 , 7.52548 , 13.8642
1.41 , 7.4821 , 13.8433
1.415 , 7.43846 , 13.8223
1.42 , 7.39459 , 13.8009
1.425 , 7.35046 , 13.7794
1.43 , 7.3061 , 13.7576
1.435 , 7.26148 , 13.7355
